mission_id,launch_date,year,decade,country,rocket_name,rocket_operator,rocket_height_m,rocket_payload_leo_kg,rocket_reusable,rocket_status,launch_site,launch_site_country,launch_site_lat,launch_site_lon,mission_type,orbit_type,destination,payload_mass_kg,num_payloads,launch_mass_tonnes,apoapsis_km,periapsis_km,inclination_deg,outcome,mission_duration_days,crew_size,booster_recovered,estimated_cost_million_usd,cost_per_kg_payload
M000001,26-07-1957,1957,1950s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,500,1,27.1,405,264,33.2,Success,,0,0,172.7,345400
M000002,20-02-1957,1957,1950s,United States,Delta IV Heavy,ULA,72,28790,0,Retired,Cape Canaveral LC-39A,USA,28.61,-80.6,Military/Reconnaissance,SSO,SSO,4758,1,232.7,613,605,98,Success,,0,0,258.9,54413.61917
M000003,09-03-1957,1957,1950s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,ISS Docking,ISS,4730,1,188.1,377,270,51.6,Launch Failure,180,7,0,106.4,22494.71459
M000004,10-04-1958,1958,1950s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,784,1,44.6,546,445,74.4,Mission Failure,,0,0,107.9,137627.551
M000005,21-08-1958,1958,1950s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Technology Demo,LEO,LEO,2712,1,124.8,627,461,93.3,Launch Failure,,0,0,196.2,72345.13274
M000006,10-10-1958,1958,1950s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,SSO,SSO,500,1,16.4,647,632,97.4,Success,,0,0,184.9,369800
M000007,28-05-1958,1958,1950s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,LEO,LEO,1111,1,39.7,463,441,81.1,Launch Failure,,0,0,117.6,105850.5851
M000008,11-01-1958,1958,1950s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,LEO,3112,1,167.9,541,481,81.1,Success,,0,0,147.4,47365.03856
M000009,24-11-1959,1959,1950s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,Lunar Transfer,Moon Surface,4730,1,280,,,18.4,Mission Failure,90,3,0,73.8,15602.537
M000010,31-03-1959,1959,1950s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,LEO,LEO,4749,1,131.4,540,504,53.3,Success,,0,0,182.1,38344.91472
M000011,17-04-1959,1959,1950s,United States,Electron,Rocket Lab,18,300,1,Active,Cape Canaveral LC-41,USA,28.58,-80.58,Weather/Meteorology,LEO,LEO,300,1,15.1,564,241,49.1,Launch Failure,,0,0,7.5,25000
M000012,18-08-1960,1960,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,SSO,SSO,9223,1,544.2,578,560,98.4,Success,,0,0,164.7,17857.53009
M000013,17-08-1960,1960,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,LEO,LEO,500,1,24.4,557,476,64.3,Success,,0,0,134.7,269400
M000014,11-02-1960,1960,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,L2 Halo,500,3,24.6,486,213,49.8,Success,,0,0,137.9,275800
M000015,15-08-1960,1960,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,500,1,14,439,376,31.8,Success,,0,0,127.1,254200
M000016,01-10-1960,1960,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,Lunar Transfer,Lunar Orbit,4730,1,192.5,,,10.1,Success,90,1,0,80.4,16997.88584
M000017,30-04-1960,1960,1960s,United States,Vulcan Centaur,ULA,61,27200,0,Active,Cape Canaveral LC-40,USA,28.56,-80.58,Human Spaceflight,Lunar Transfer,Moon Surface,6540,1,202.5,,,45.5,Launch Failure,90,4,0,99.1,15152.9052
M000018,29-12-1960,1960,1960s,United States,Neutron,Rocket Lab,40,13000,1,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Military/Reconnaissance,SSO,SSO,2261,1,126.6,730,729,97.2,Success,,0,0,123.4,54577.62052
M000019,29-07-1960,1960,1960s,United States,Titan IV,USAF,62,21680,0,Retired,Blue Origin Launch Site One,USA,31.42,-104.76,Science/Astronomy,LEO,L2 Halo,5946,1,184.1,371,245,83.9,Success,,0,0,101.9,17137.57148
M000020,29-07-1960,1960,1960s,United States,Vulcan Centaur,ULA,61,27200,0,Active,SpaceX Starbase,USA,25.99,-97.16,Science/Astronomy,LEO,Earth Orbit,1224,1,66.4,529,248,44.7,Success,,0,0,193.4,158006.5359
M000021,27-06-1960,1960,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,Earth Orbit,500,1,18.4,473,394,82.4,Mission Failure,,0,0,196.7,393400
M000022,22-10-1960,1960,1960s,United States,Vulcan Centaur,ULA,61,27200,0,Active,Cape Canaveral LC-41,USA,28.58,-80.58,Military/Reconnaissance,SSO,SSO,9179,1,316.1,568,560,98.4,Success,,0,0,161,17540.03704
M000023,17-11-1960,1960,1960s,United States,Saturn V,NASA,111,140000,0,Retired,Vandenberg SLC-4,USA,34.74,-120.57,Military/Reconnaissance,SSO,SSO,1066,1,30.4,455,442,98.4,Success,,0,0,185,173545.9662
M000024,04-06-1960,1960,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,SSO,SSO,469,1,21.3,659,651,99,Success,,0,0,191.4,408102.3454
